category,price,rating,stock,title,upc
Biography,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Spirituality,[17.66],[5.0],[18],The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50
Biography,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Spirituality,[20.91],[1.0],[9],If I Gave You God's Phone Number....: Searching for Spirituality in America,8fab4c4f6f82a4ce
Spirituality,[55.65],[5.0],[4],A New Earth: Awakening to Your Life's Purpose,f6ae39568db1130e
Spirituality,[37.8],[2.0],[15],Chasing Heaven: What Dying Taught Me About Living,513271dadc1322ae
Spirituality,[32.24],[5.0],[16],The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b
Spirituality,[46.33],[2.0],[7],Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,48cb52d78c992487
Philosophy,http://books.toscrape.com/media/cache/ce/da/ceda6d577d0609261f997bd99872013b.jpg,[29.93],[5.0],[7],"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",6b52904b2ab91bf6
Philosophy,http://books.toscrape.com/media/cache/d1/7f/d17f326e3fcaf84c37d6d51e3470bcc6.jpg,[43.38],[1.0],[1],Beyond Good and Evil,08672cd59171d5e4
Philosophy,http://books.toscrape.com/media/cache/90/f7/90f79652caecac36bc97bf7b769c8fc4.jpg,[25.89],[2.0],[1],Meditations,4f19709e47883df5
Philosophy,http://books.toscrape.com/media/cache/16/f4/16f4518319f7dcadc23d020279f78545.jpg,[36.34],[1.0],[1],The Nicomachean Ethics,5c10b64db3e4f228
Philosophy,http://books.toscrape.com/media/cache/bf/90/bf90ad2c3cab628096db8fca010797b4.jpg,[47.13],[1.0],[8],Kierkegaard: A Christian Missionary to Christians,0cf57cb49272fd37
Philosophy,http://books.toscrape.com/media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg,[58.11],[4.0],[16],The Death of Humanity: and the Case for Life,bd261725b99f5983
Philosophy,http://books.toscrape.com/media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg,[15.94],[5.0],[18],Sophie's World,6be3beb0793a53e7
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Classics,http://books.toscrape.com/media/cache/9b/33/9b33c3c40c8d27054a3edf96cbf6a2fb.jpg,[28.58],[1.0],[5],The Metamorphosis,93379e3a2072a01b
Classics,http://books.toscrape.com/media/cache/f1/78/f17805e88aed31aae352ab250b2a379d.jpg,[15.08],[4.0],[5],The Secret Garden,abbb492978ff656d
Classics,http://books.toscrape.com/media/cache/73/b9/73b9d68a89e6d037f1afdc70f96bad09.jpg,[57.22],[3.0],[4],Animal Farm,1451b55e5e56bb89
Classics,http://books.toscrape.com/media/cache/e7/7d/e77d917c495e649216225bd47e006482.jpg,[58.63],[3.0],[4],Candide,2798974abc8a58a8
Classics,http://books.toscrape.com/media/cache/55/a9/55a942b0c092c40bdbb6a1f1be340984.jpg,[28.07],[4.0],[4],Little Women (Little Women #1),deda806b68b0aa11
Classics,http://books.toscrape.com/media/cache/91/2a/912acfe6ee354d9d9bf3c1fa517c4252.jpg,[50.26],[2.0],[4],The Pilgrim's Progress,6053ddf69c967d5f
Classics,http://books.toscrape.com/media/cache/9d/fe/9dfe2a73c6a1a1c09927c904de641ebf.jpg,[14.82],[2.0],[4],The Hound of the Baskervilles (Sherlock Holmes #5),6587f46697fc4443
Classics,http://books.toscrape.com/media/cache/b5/5b/b55be7e5c18b62cef6ebeae404f7f643.jpg,[43.19],[4.0],[1],The Story of Hong Gildong,32d035df92ab9080
Classics,http://books.toscrape.com/media/cache/ac/ee/acee20cff19be38cc3efc5e9b50afae4.jpg,[32.49],[3.0],[4],Gone with the Wind,23310ce84d3c9f85
Classics,http://books.toscrape.com/media/cache/6f/b0/6fb0c3064656f888125ab577b6a01867.jpg,[35.01],[2.0],[3],And Then There Were None,cfe350b20d23b02b
Classics,http://books.toscrape.com/media/cache/67/29/67297ff3ae6cb02884c52e5250fe7c1a.jpg,[29.7],[2.0],[3],The Picture of Dorian Gray,b9f6305a3d650e2c
Classics,http://books.toscrape.com/media/cache/55/2d/552d55d44dcc0f27e98b3e7dc3959e1a.jpg,[26.78],[4.0],[3],The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),cad70d6ffd53912f
Classics,http://books.toscrape.com/media/cache/d8/64/d8644073d00c000cb60643256080cc4b.jpg,[17.73],[3.0],[3],Wuthering Heights,5a7ff9aaa3168878
Classics,http://books.toscrape.com/media/cache/99/df/99df494c230127c3d5ff53153d1f23a3.jpg,[55.53],[1.0],[1],Alice in Wonderland (Alice's Adventures in Wonderland #1),cd2a2a70dd5d176d
Classics,http://books.toscrape.com/media/cache/3d/8c/3d8cd7a42d3e57cb10e02f9ab76bd549.jpg,[38.35],[2.0],[3],Beowulf,3fb69f34e178d494
Classics,http://books.toscrape.com/media/cache/a0/bb/a0bb0881c8ee6f5866804cf0a437853f.jpg,[47.11],[2.0],[1],Of Mice and Men,39592d9d72e717c4
Classics,http://books.toscrape.com/media/cache/a8/57/a857deea83c7d4c66e2920e1cf5d8fe0.jpg,[37.46],[1.0],[1],Sense and Sensibility,35e44170702139a4
Classics,http://books.toscrape.com/media/cache/ae/98/ae98d08a6f427491dd8eda6b51af41fe.jpg,[32.93],[2.0],[1],Emma,2e69730561ed70ad
Classics,http://books.toscrape.com/media/cache/c0/d6/c0d67625e62981155f5e1f553bda1a94.jpg,[45.42],[2.0],[1],The Little Prince,1aeca7d078d57deb
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Fantasy,http://books.toscrape.com/media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg,[18.78],[3.0],[16],Unicorn Tracks,7ae099f3898e0209
Fantasy,http://books.toscrape.com/media/cache/05/c4/05c43fe821ae19169c7baa8a54c7e869.jpg,[56.4],[2.0],[16],Masks and Shadows,fa9610a50a1bf149
Fantasy,http://books.toscrape.com/media/cache/b7/7d/b77d5e56daa3c22822abf1b8affbaef9.jpg,[43.29],[3.0],[16],Crown of Midnight (Throne of Glass #2),7267864328ae8b9d
Fantasy,http://books.toscrape.com/media/cache/4a/99/4a996ae54711cea37e370428b54f8b19.jpg,[25.02],[3.0],[16],"Saga, Volume 6 (Saga (Collected Editions) #6)",c849f0b2f5d6a742
Fantasy,http://books.toscrape.com/media/cache/db/01/db01b38d3200a5faff4ead42791416e4.jpg,[13.34],[5.0],[16],Princess Between Worlds (Wide-Awake Princess #5),0e691eda369f4e09
Fantasy,http://books.toscrape.com/media/cache/0a/78/0a78f89fc2dc78b700b494c3510e8920.jpg,[52.37],[1.0],[16],A Court of Thorns and Roses (A Court of Thorns and Roses #1),01d2001ac1e6f8a3
Fantasy,http://books.toscrape.com/media/cache/4e/8d/4e8d87d1cb5e876ddb50599a1d1b656e.jpg,[35.07],[3.0],[15],Throne of Glass (Throne of Glass #1),590a9cccf7db9f7d
Fantasy,http://books.toscrape.com/media/cache/10/66/106624e3f3bf865390255be16dfb71d8.jpg,[56.02],[4.0],[14],City of Glass (The Mortal Instruments #3),966ebb738e0f9d9b
Fantasy,http://books.toscrape.com/media/cache/9f/25/9f25ffe4229a32d1368b3dfe248c3343.jpg,[28.09],[2.0],[16],"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",6d5300b2d8f37e07
Fantasy,http://books.toscrape.com/media/cache/2f/21/2f21c9ffd0962092ce337ecd1b338f5b.jpg,[44.28],[1.0],[15],The Glittering Court (The Glittering Court #1),2dbb7ec08cdd7f3c
Fantasy,http://books.toscrape.com/media/cache/ac/1a/ac1a0546d9cdf6cd82ab7712a6c418df.jpg,[46.02],[5.0],[14],The Star-Touched Queen,1528279aec1f3dce
Fantasy,http://books.toscrape.com/media/cache/4c/fd/4cfd83a011f60d38b140642a441ce01a.jpg,[42.98],[1.0],[15],Hollow City (Miss Peregrine’s Peculiar Children #2),4ce91d31c1e57c33
Fantasy,http://books.toscrape.com/media/cache/dc/57/dc57f908a0a2e130a5c065893a9005dd.jpg,[32.3],[5.0],[12],The Star-Touched Queen,4a7a25be293ad678
Fantasy,http://books.toscrape.com/media/cache/9d/9b/9d9bf1a3155fb3736d2fe12799dcca95.jpg,[56.63],[3.0],[9],A Shard of Ice (The Black Symphony Saga #1),63d5f1651880dcea
Fantasy,http://books.toscrape.com/media/cache/fc/17/fc17b4149d87d9ee714dde082ede0ee9.jpg,[39.61],[5.0],[7],King's Folly (The Kinsman Chronicles #1),4c82371b8cd02d4d
Fantasy,http://books.toscrape.com/media/cache/b7/d5/b7d558f31dc9803aeb6c76009fdea5bc.jpg,[37.51],[5.0],[14],Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),3c6fe637a0180b01
Fantasy,http://books.toscrape.com/media/cache/e9/fe/e9fed5b725a6badd26ef93175fdc248b.jpg,[44.73],[4.0],[14],The Bane Chronicles (The Bane Chronicles #1-11),dc6f688b82e42a5b
Fantasy,http://books.toscrape.com/media/cache/0f/65/0f6563cce3cc893cde20b088f6fd4107.jpg,[29.65],[1.0],[14],Island of Dragons (Unwanteds #7),2b52334fab158861
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Fantasy,http://books.toscrape.com/media/cache/9e/b4/9eb4396139c421fc9f832011c68adb2c.jpg,[38.73],[1.0],[13],Searching for Meaning in Gailana,2f0213137a80d485
Fantasy,http://books.toscrape.com/media/cache/7c/55/7c550a26f03e12343d0c6b4474b3eb1e.jpg,[52.26],[2.0],[14],The Hidden Oracle (The Trials of Apollo #1),992974ba6a0536ea
Fantasy,http://books.toscrape.com/media/cache/c3/1a/c31af6fddfa452d9d746a599f35dcc01.jpg,[44.81],[4.0],[7],A Gathering of Shadows (Shades of Magic #2),d1378a0ad06ff979
Fantasy,http://books.toscrape.com/media/cache/68/b0/68b05bbf33c6b8e2914f35ad14a0d2d8.jpg,[57.74],[4.0],[5],The Raven Boys (The Raven Cycle #1),e0b3a679b83caccc
Fantasy,http://books.toscrape.com/media/cache/b6/3b/b63bd741fc6ada1e60a33db14bde0277.jpg,[49.45],[5.0],[4],Paper and Fire (The Great Library #2),ae884ac655d6ee3e
Fantasy,http://books.toscrape.com/media/cache/b8/d7/b8d7eab895dac4551905c5f85849bb32.jpg,[12.16],[5.0],[7],Every Heart a Doorway (Every Heart A Doorway #1),4fa75fc6829431ca
Fantasy,http://books.toscrape.com/media/cache/d4/76/d4761761d26eb7fe1ba0a9480913a8ca.jpg,[46.08],[5.0],[4],The Beast (Black Dagger Brotherhood #14),8930013d06942df1
Fantasy,http://books.toscrape.com/media/cache/6f/b7/6fb724034c86041a52b247ae53613413.jpg,[17.21],[4.0],[5],A Feast for Crows (A Song of Ice and Fire #4),f2c8f4b4c94d5c5c
Fantasy,http://books.toscrape.com/media/cache/bf/77/bf77b0c1f1bda1cd7297325066a7f337.jpg,[45.51],[3.0],[5],Tell the Wind and Fire,84126312e2431a09
Fantasy,http://books.toscrape.com/media/cache/be/f8/bef8aac75369fc2211515cd4c76d3518.jpg,[52.11],[2.0],[4],The Demonists (Demonist #1),ff2dffba388d9922
Fantasy,http://books.toscrape.com/media/cache/36/b1/36b1333456d4c6b28e90d1157d37bc0e.jpg,[56.0],[5.0],[5],The False Prince (The Ascendance Trilogy #1),a2a9f76339d21ab1
Fantasy,http://books.toscrape.com/media/cache/79/15/7915bf4c3d1a2f7fd39c4edff580e91f.jpg,[24.72],[2.0],[3],Soldier (Talon #3),feaaae90514eb2ac
Fantasy,http://books.toscrape.com/media/cache/ca/56/ca565814dfe2d9f73d3d6b1ad7265984.jpg,[31.63],[4.0],[4],Harry Potter and the Order of the Phoenix (Harry Potter #5),5a6b7155f2797537
Fantasy,http://books.toscrape.com/media/cache/a9/b6/a9b62c069312790dd2d408b0b57a2976.jpg,[58.64],[4.0],[3],The Rose & the Dagger (The Wrath and the Dawn #2),322a9e34d87f54b1
Fantasy,http://books.toscrape.com/media/cache/9e/3c/9e3c81f9694c5832a24bf590c2a0b610.jpg,[14.74],[1.0],[4],Harry Potter and the Chamber of Secrets (Harry Potter #2),c7c4f55b7321cba7
Fantasy,http://books.toscrape.com/media/cache/06/ee/06ee91950f111a29d18bccb0c3418fb4.jpg,[48.75],[5.0],[4],Harry Potter and the Half-Blood Prince (Harry Potter #6),73f4f87dd936ee5c
Fantasy,http://books.toscrape.com/media/cache/20/ea/20ea16f618488e65f6abc5535fa77610.jpg,[22.06],[4.0],[3],Ash,5d22e2a46604b6e7
Fantasy,http://books.toscrape.com/media/cache/0b/c8/0bc884c23d4204aec7bbf35d5e8849f6.jpg,[31.22],[2.0],[3],A Storm of Swords (A Song of Ice and Fire #3),87beabf664115d79
Fantasy,http://books.toscrape.com/media/cache/f2/53/f253cb694eae2cc512e395f2d54eefd5.jpg,[56.02],[1.0],[3],Darkfever (Fever #1),468bd274ac084bb9
Fantasy,http://books.toscrape.com/media/cache/8e/5a/8e5a6639c7e2f9b59ff15f04a3b055e1.jpg,[43.87],[3.0],[3],Eragon (The Inheritance Cycle #1),b843f52a986a2914
Fantasy,http://books.toscrape.com/media/cache/cd/65/cd65e4ee648ae23f6cdafb41e4948d6e.jpg,[55.46],[2.0],[3],Midnight Riot (Peter Grant/ Rivers of London - books #1),e9056f9b5a40a301
Fantasy,http://books.toscrape.com/media/cache/36/39/36393f3294ab28afe4a2117fc987be75.jpg,[44.07],[4.0],[3],Heir to the Sky,b003f8bb02f76dc5
Fantasy,http://books.toscrape.com/media/cache/c1/80/c1800f5a0eaaaea8c2283b129cbac4ae.jpg,[36.25],[3.0],[1],The Silent Twin (Detective Jennifer Knight #3),9e9932ae1a7d0943
Fantasy,http://books.toscrape.com/media/cache/32/8d/328dc781f0faaa70e67f9a04ef601d3c.jpg,[53.82],[2.0],[1],Vampire Girl (Vampire Girl #1),dab5e75d1339706a
Fantasy,http://books.toscrape.com/media/cache/61/8a/618a23dc5a492a4aa8b15ba4bf80c781.jpg,[29.38],[1.0],[1],The Mirror & the Maze (The Wrath and the Dawn #1.5),c40b70e0f6d80189
Fantasy,http://books.toscrape.com/media/cache/ad/78/ad789235c675d02b730b57a166d910b5.jpg,[28.99],[1.0],[1],Origins (Alphas 0.5),8932e5c12f12ffed
Fantasy,http://books.toscrape.com/media/cache/26/47/2647baddb86f91b6f7ea2fb8052edd62.jpg,[13.33],[3.0],[1],Sister Sable (The Mad Queen #1),3a9a7c5895e82646
Fantasy,http://books.toscrape.com/media/cache/70/ad/70ad2de442bc3ffe36660ccabfe46148.jpg,[52.94],[2.0],[1],One Second (Seven #7),7ea31f38675b91c1
Fantasy,http://books.toscrape.com/media/cache/48/7d/487d4be44c60cac7f0085242c4512653.jpg,[58.75],[4.0],[1],Myriad (Prentor #1),63e20a0f98218a87
Fantasy,http://books.toscrape.com/media/cache/b8/35/b83561ef09d202d3c871649feed4b66d.jpg,[21.72],[4.0],[1],Shadow Rites (Jane Yellowrock #10),229cd6564bf0dce4
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
New Adult,http://books.toscrape.com/media/cache/e2/52/e252988534e955a047c562376b8b95c0.jpg,[58.35],[3.0],[1],Shameless,c068c013d6921fea
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
New Adult,http://books.toscrape.com/media/cache/de/26/de269ee688d4dc51846567f3942600ce.jpg,[45.07],[2.0],[16],Without Borders (Wanderlove #1),acddfeab2a407640
New Adult,http://books.toscrape.com/media/cache/4a/58/4a58f6feb21b7194911eddb020766583.jpg,[39.45],[5.0],[1],Off Sides (Off #1),b6f1cfadc4dd79d4
New Adult,http://books.toscrape.com/media/cache/90/de/90de87ce300bcbbfcdb9ad77fc9a2e5f.jpg,[36.29],[5.0],[1],The Hook Up (Game On #1),6e473eff459e809f
New Adult,http://books.toscrape.com/media/cache/e9/e3/e9e3736effeb4982324dd0e4e64b2e81.jpg,[55.85],[1.0],[15],The Matchmaker's Playbook (Wingmen Inc. #1),08db62f24627e71f
New Adult,http://books.toscrape.com/media/cache/95/49/9549db6862283a388659611bda63b97b.jpg,[43.29],[3.0],[15],The Mistake (Off-Campus #2),99ff4cc6491e8f5c
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Romance,http://books.toscrape.com/media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg,[34.53],[5.0],[19],Black Dust,00bfed9e18bb36f3
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Romance,http://books.toscrape.com/media/cache/77/54/77540d564fb77611a18b57f12a910b73.jpg,[40.83],[4.0],[12],Dirty (Dive Bar #1),df7e628bad5782b4
Romance,http://books.toscrape.com/media/cache/3d/4d/3d4d8e92429144f6c807adc4b15b7f80.jpg,[28.82],[1.0],[14],Hold Your Breath (Search and Rescue #1),0b165bd4b9f42fd5
Romance,http://books.toscrape.com/media/cache/bc/21/bc214639946c501cd70ff6b752439c76.jpg,[47.67],[3.0],[11],Off the Hook (Fishing for Trouble #1),b783ce08802cd1d1
Romance,http://books.toscrape.com/media/cache/7a/6a/7a6a89af2f591d86df6f7c65649463db.jpg,[13.38],[3.0],[4],Changing the Game (Play by Play #2),aaebac5fda798b1b
Romance,http://books.toscrape.com/media/cache/41/ee/41ee38c1d15f0139a3fb17b730dc4347.jpg,[33.97],[1.0],[16],Her Backup Boyfriend (The Sorensen Family #1),2a97cffe61c3c4c7
Romance,http://books.toscrape.com/media/cache/d8/bd/d8bdea8d4e7db9af8e0cb1b36db448d2.jpg,[12.87],[1.0],[4],Dark Lover (Black Dagger Brotherhood #1),2b69d289279aabfd
Romance,http://books.toscrape.com/media/cache/b0/be/b0be8b72b97ba3185f7d55235d0be76f.jpg,[59.99],[3.0],[4],The Perfect Play (Play by Play #1),9cc207168a03470d
Romance,http://books.toscrape.com/media/cache/17/94/17940ad8d367ea5f28db57e7fc32dac9.jpg,[31.3],[1.0],[5],A Girl's Guide to Moving On (New Beginnings #2),cf3b86489890b9f2
Romance,http://books.toscrape.com/media/cache/01/a5/01a5285b17e7ec0e7e56294a8f8af28d.jpg,[15.97],[4.0],[16],First and First (Five Boroughs #3),9e28048cea8d41f7
Romance,http://books.toscrape.com/media/cache/48/2c/482c14200688df579ab2ed0fcbddcb86.jpg,[20.9],[3.0],[7],"Sit, Stay, Love",bd087cf6a846db75
Romance,http://books.toscrape.com/media/cache/4b/91/4b91460323973e9e140626d00474d74c.jpg,[35.61],[3.0],[15],Doing It Over (Most Likely To #1),3a11bb962ff45b78
Romance,http://books.toscrape.com/media/cache/82/aa/82aa7770711dfc5edc1f5f69a731d08b.jpg,[14.75],[5.0],[11],A Gentleman's Position (Society of Gentlemen #3),40c4bf520c17de54
Romance,http://books.toscrape.com/media/cache/21/53/21539e305aa09ec40b36daa43db3f2fe.jpg,[32.61],[3.0],[14],The Wedding Pact (The O'Malleys #2),c5cb9f885d8b3621
Romance,http://books.toscrape.com/media/cache/33/72/337240d247fdf020755566e4477e17ca.jpg,[53.98],[3.0],[11],Take Me Home Tonight (Rock Star Romance #3),cf62fa272b5f0fa3
Romance,http://books.toscrape.com/media/cache/51/86/51862681bebec59be61f36f937c71fce.jpg,[21.96],[1.0],[16],Fifty Shades Darker (Fifty Shades #2),7add3f8e49ec0826
Romance,http://books.toscrape.com/media/cache/29/3b/293bd9cd6fe1f8c82d1688aefe6cc5f7.jpg,[24.12],[1.0],[15],The Wedding Dress,623e1a180426039b
Romance,http://books.toscrape.com/media/cache/b8/f9/b8f9e0169c3811f9ed145c3824208de6.jpg,[16.24],[4.0],[15],Something More Than This,ca71e72655bece85
Romance,http://books.toscrape.com/media/cache/58/bb/58bb81b052b6ad90adcd57e95da99a50.jpg,[55.99],[2.0],[15],Suddenly in Love (Lake Haven #1),203b7f94b7d6115f
Romance,http://books.toscrape.com/media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg,[25.27],[5.0],[19],Chase Me (Paris Nights #2),c2e46a2ee3b4a322
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Romance,http://books.toscrape.com/media/cache/fe/a9/fea9278c15f5ad41f5d478196cf4132d.jpg,[56.43],[1.0],[4],A Walk to Remember,aead11697d14ea36
